,venue,headliner,weekday,date,main_genre
127,9:30 Club,Garbage,Wednesday,5/27/98,Alternative/Indie
128,9:30 Club,Better Than Ezra,Friday,10/2/98,Alternative rock
129,9:30 Club,Sonic Youth,Thursday,5/7/98,Noise rock
130,9:30 Club,Sonic Youth,Wednesday,5/6/98,Noise rock
131,9:30 Club,G. Love & Special Sauce,Thursday,12/31/98,Alternative hip hop
132,9:30 Club,Reel Big Fish,Friday,9/25/98,Ska punk
133,9:30 Club,Mustard Plug,Tuesday,4/21/98,Alternative/Indie
134,9:30 Club,Massive Attack,Thursday,9/10/98,Trip hop
135,9:30 Club,The Damned,Monday,2/9/98,Rock
136,9:30 Club,Buffalo Tom,Saturday,11/7/98,Alternative rock
137,9:30 Club,The Church,Saturday,10/10/98,Alternative/Indie
138,9:30 Club,Eels,Sunday,11/8/98,Alternative/Indie
139,9:30 Club,Patti Smith,Wednesday,11/18/98,Punk rock
140,9:30 Club,Mudhoney,Saturday,10/17/98,Alternative rock
141,9:30 Club,Bob Mould,Wednesday,9/30/98,Punk rock
142,9:30 Club,Little Feat,Saturday,2/7/98,Southern rock
143,9:30 Club,Alanis Morissette,Tuesday,10/27/98,Pop
144,9:30 Club,Soul Coughing,Sunday,10/25/98,Alternative rock
145,9:30 Club,They Might Be Giants,Wednesday,12/30/98,Rock
146,9:30 Club,The Afghan Whigs,Sunday,11/22/98,Alternative rock
147,9:30 Club,Rocket from the Crypt,Saturday,7/25/98,Punk rock
148,9:30 Club,Squeeze,Tuesday,6/9/98,Pop
149,9:30 Club,Feeder,Friday,4/10/98,Alternative/Indie
150,9:30 Club,Chris Whitley,Wednesday,10/28/98,Blues rock
151,9:30 Club,The Jesus Lizard,Wednesday,5/20/98,Noise rock
152,9:30 Club,Gary Numan,Monday,5/4/98,Synth-pop
153,9:30 Club,Maria McKee,Friday,12/11/98,Pop rock
154,9:30 Club,Michelle Shocked,Monday,3/2/98,Alternative folk
155,9:30 Club,The Jesus and Mary Chain,Tuesday,7/14/98,Alternative rock
156,9:30 Club,The Goo Goo Dolls,Thursday,11/5/98,Alternative rock
157,9:30 Club,Michelle Shocked,Sunday,3/1/98,Alternative folk
158,9:30 Club,Paula Cole,Saturday,2/14/98,Pop
159,9:30 Club,MONO,Saturday,4/11/98,Rock
160,9:30 Club,Nothingface,Saturday,9/12/98,Heavy metal
161,9:30 Club,Luscious Jackson,Tuesday,8/10/99,Alternative rock
162,9:30 Club,Trey Anastasio,Tuesday,5/11/99,Alternative rock
163,9:30 Club,Underworld,Tuesday,4/20/99,Electronica/Dance
164,9:30 Club,They Might Be Giants,Friday,10/15/99,Rock
165,9:30 Club,Madness,Saturday,5/1/99,Alternative/Indie
166,9:30 Club,The Sisters Of Mercy,Thursday,9/23/99,Gothic rock
167,9:30 Club,Smashing Pumpkins,Thursday,4/15/99,Rock
168,9:30 Club,GusGus,Sunday,5/2/99,Electronic music
169,9:30 Club,Pavement,Saturday,6/19/99,Alternative/Indie
170,9:30 Club,Counting Crows,Thursday,10/28/99,Rock
171,9:30 Club,Elliott Smith,Tuesday,3/23/99,Indie folk
172,9:30 Club,Sebadoh,Friday,3/19/99,Indie Rock
173,9:30 Club,Silverchair,Thursday,3/11/99,Grunge
174,9:30 Club,Rage Against The Machine,Sunday,10/31/99,Rap metal
175,9:30 Club,Mercury Rev,Tuesday,6/8/99,Indie Rock
176,9:30 Club,Ween,Saturday,1/2/99,Alternative rock
177,9:30 Club,Better Than Ezra,Wednesday,3/10/99,Alternative rock
178,9:30 Club,Morcheeba,Wednesday,3/24/99,Trip hop
179,9:30 Club,Soulfly,Wednesday,7/14/99,Groove metal
180,9:30 Club,Atari Teenage Riot,Sunday,7/18/99,Digital hardcore
181,9:30 Club,The Residents,Friday,4/9/99,Alternative/Indie
182,9:30 Club,Fuel,Friday,4/2/99,Rock
183,9:30 Club,Dance Hall Crashers,Saturday,3/20/99,Alternative/Indie
184,9:30 Club,Dead Can Dance,Monday,11/1/99,Neoclassical dark wave
185,9:30 Club,Mojave 3,Saturday,4/10/99,Dream pop
186,9:30 Club,Stereolab,Wednesday,11/10/99,Avant-pop
187,9:30 Club,Bloodhound Gang,Thursday,4/29/99,Alternative rock
188,9:30 Club,Counting Crows,Friday,10/29/99,Rock
189,9:30 Club,Liz Phair,Tuesday,4/27/99,Alternative rock
190,9:30 Club,The Beta Band,Saturday,9/11/99,Rock
191,9:30 Club,Tenacious D,Friday,8/27/99,Comedy rock
192,9:30 Club,Remy Zero,Wednesday,6/16/99,Alternative rock
193,9:30 Club,Buffalo Tom,Saturday,2/27/99,Alternative rock
194,9:30 Club,The Church,Friday,10/1/99,Alternative/Indie
195,9:30 Club,Chemical Brothers,Monday,9/27/99,Big beat
196,9:30 Club,Patty Griffin,Saturday,7/3/99,Americana
197,9:30 Club,Patty Griffin,Monday,5/3/99,Americana
198,9:30 Club,Alice Cooper,Tuesday,10/5/99,Hard rock
199,9:30 Club,Fountains of Wayne,Thursday,7/8/99,Power pop
200,9:30 Club,Siouxsie & The Banshees,Saturday,4/24/99,Post-punk
201,9:30 Club,Soul Coughing,Wednesday,8/11/99,Alternative rock
202,9:30 Club,They Might Be Giants,Saturday,10/16/99,Rock
203,9:30 Club,Everclear,Monday,7/5/99,Rock
204,9:30 Club,Tricky,Saturday,9/18/99,Alternative/Indie
205,9:30 Club,The Tragically Hip,Saturday,5/15/99,Rock
206,9:30 Club,The Tragically Hip,Friday,5/14/99,Rock
207,9:30 Club,The Cranberries,Wednesday,4/28/99,Alternative rock
208,9:30 Club,Morphine,Friday,3/26/99,Alternative/Indie
209,9:30 Club,The Afghan Whigs,Monday,9/6/99,Alternative rock
210,9:30 Club,Rusted Root,Tuesday,3/2/99,Roots rock
211,9:30 Club,Rusted Root,Wednesday,3/3/99,Roots rock
212,9:30 Club,The Cult,Wednesday,8/4/99,Hard rock
213,9:30 Club,Guided By Voices,Friday,9/10/99,Indie Rock
214,9:30 Club,Burning Spear,Sunday,9/26/99,Reggae
215,9:30 Club,Jamiroquai,Monday,7/19/99,Funk
216,9:30 Club,System of a Down,Monday,4/12/99,Rock
217,9:30 Club,Apes,Friday,12/31/99,Electronica/Dance
218,9:30 Club,Lunachicks,Sunday,10/17/99,Punk rock
219,9:30 Club,The Distillers,Monday,6/21/99,Punk rock
220,9:30 Club,Moby,Monday,9/13/99,Electronica
221,9:30 Club,Wilco,Tuesday,11/16/99,Alternative rock
222,9:30 Club,Robyn Hitchcock,Friday,8/13/99,Alternative rock
223,9:30 Club,Ani DiFranco,Wednesday,10/6/99,Folk rock
224,9:30 Club,Leftover Salmon,Wednesday,6/9/99,Rock
225,9:30 Club,Soul Coughing,Thursday,8/12/99,Alternative rock
226,9:30 Club,Nothingface,Sunday,1/24/99,Heavy metal
227,9:30 Club,Moxy Fruvous,Friday,2/5/99,Folk rock
228,9:30 Club,Moxy Fruvous,Saturday,11/20/99,Folk rock
229,9:30 Club,Unwritten Law,Sunday,5/2/99,Alternative/Indie
230,9:30 Club,Morrissey,Monday,2/28/00,Alternative rock
231,9:30 Club,Elliott Smith,Thursday,10/26/00,Indie folk
232,9:30 Club,Catherine Wheel,Saturday,7/8/00,Alternative rock
233,9:30 Club,The Disco Biscuits,Wednesday,11/22/00,Trance fusion
234,9:30 Club,Type O Negative,Tuesday,11/21/00,Gothic metal
235,9:30 Club,Gomez,Saturday,3/11/00,Alternative/Indie
236,9:30 Club,Sleater-Kinney,Thursday,5/25/00,Alternative/Indie
237,9:30 Club,Juliana Hatfield,Friday,6/23/00,Alternative rock
238,9:30 Club,Yo La Tengo,Saturday,9/16/00,Indie Rock
