"","venue","headliner","support","weekday","date","time","ticket_price"
"94","9:30 Club","      Radiohead"," Teenage Fanclub    ","Tuesday",1997-08-12,"",""
"95","9:30 Club","      Stereolab     ",NA,"Sunday",1997-12-07,"",""
"96","9:30 Club","      Tricky     ",NA,"Thursday",1997-01-09,"",""
"97","9:30 Club","      The Cramps     ",NA,"Tuesday",1997-11-11,"",""
"98","9:30 Club","      The Dandy Warhols     ",NA,"Friday",1997-08-22,"",""
"99","9:30 Club","      Papas Fritas"," The Cardigans    ","Saturday",1997-02-08,"",""
"100","9:30 Club","      Echo & The Bunnymen"," Longpigs    ","Monday",1997-10-27,"",""
"101","9:30 Club","      Eels     ",NA,"Thursday",1997-03-13,"",""
"102","9:30 Club","      Megadeth     ",NA,"Monday",1997-08-18,"",""
"103","9:30 Club","      Megadeth     ",NA,"Tuesday",1997-08-19,"",""
"104","9:30 Club","      Patty Griffin     ",NA,"Sunday",1997-05-11,"",""
"105","9:30 Club","      Patty Griffin"," Shawn Colvin and Freedy Johnson    ","Saturday",1997-03-08,"",""
"106","9:30 Club","      Patty Griffin"," Shawn Colvin and Freedy Johnson    ","Friday",1997-03-07,"",""
"107","9:30 Club","      Patti Smith     ",NA,"Thursday",1997-01-02,"",""
"108","9:30 Club","      Patti Smith     ",NA,"Friday",1997-01-03,"",""
"109","9:30 Club","      Luna     ",NA,"Saturday",1997-09-06,"",""
"110","9:30 Club","      The Seahorses     ",NA,"Monday",1997-08-04,"",""
"111","9:30 Club","      Supergrass"," Pulsars    ","Saturday",1997-05-31,"",""
"112","9:30 Club","      Fishbone     ",NA,"Saturday",1997-08-09,"",""
"113","9:30 Club","      Fountains of Wayne     ",NA,"Thursday",1997-04-10,"",""
"114","9:30 Club","      Graham Parker     ",NA,"Friday",1997-06-13,"",""
"115","9:30 Club","      Descendents and Less Than Jake"," Guttermouth and Handsome    ","Tuesday",1997-05-20,"",""
"116","9:30 Club","      Bob Mould     ",NA,"Wednesday",1997-04-09,"",""
"117","9:30 Club","      Our Lady Peace     ",NA,"Tuesday",1997-06-03,"",""
"118","9:30 Club","      10","000 Maniacs     ","Saturday",1997-01-18,"",""
"119","9:30 Club","      10","000 Maniacs     ","Thursday",1997-09-18,"",""
"120","9:30 Club","      The Pogues     ",NA,"Thursday",1997-06-12,"",""
"121","9:30 Club","      They Might Be Giants     ",NA,"Saturday",1997-10-11,"",""
"122","9:30 Club","      Morphine     ",NA,"Sunday",1997-03-16,"",""
"123","9:30 Club","      Mustard Plug     ",NA,"Tuesday",1997-06-24,"",""
"124","9:30 Club","      Poster Children"," Failure and Summercamp    ","Wednesday",1997-05-28,"",""
"125","9:30 Club","      Silverchair     ",NA,"Friday",1997-02-21,"",""
"126","9:30 Club","      You Am I     ",NA,"Saturday",1997-02-22,"",""
"127","9:30 Club","      Sheryl Crow and The Wallflowers     ",NA,"Friday",1997-02-14,"",""
"128","9:30 Club","      Sheryl Crow and The Wallflowers     ",NA,"Saturday",1997-02-15,"",""
"129","9:30 Club","      Bob Dylan     ",NA,"Thursday",1997-12-04,"",""
"130","9:30 Club","      Bob Dylan     ",NA,"Friday",1997-12-05,"",""
"131","9:30 Club","      Beth Orton     ",NA,"Saturday",1997-10-25,"",""
"132","9:30 Club","      The Jesus Lizard"," Verbena and Miltown    ","Friday",1997-11-07,"",""
"133","9:30 Club","      Spiritualized     ",NA,"Saturday",1997-12-06,"",""
"134","9:30 Club","      Soul Asylum     ",NA,"Monday",1997-06-16,"",""
"135","9:30 Club","      Matchbox Twenty     ",NA,"Thursday",1997-06-05,"",""
"136","9:30 Club","      Matchbox Twenty     ",NA,"Sunday",1997-11-09,"",""
"137","9:30 Club","      Nothingface     ",NA,"Friday",1997-08-29,"",""
"138","9:30 Club","      Dropkick Murphys"," The Goons    ","Saturday",1997-08-16,"",""
"139","9:30 Club","      Live     ",NA,"Wednesday",1997-02-19,"",""
"140","9:30 Club","      The Minus 5     ",NA,"Thursday",1997-05-29,"",""
"141","9:30 Club","      The Jesus Lizard"," TONE (DC) and My Life In Rain    ","Tuesday",1997-07-01,"",""
"142","9:30 Club","      Luna"," TONE (DC)    ","Saturday",1997-01-25,"",""
"143","9:30 Club","      Slayer"," Clutch and System of a Down    ","Monday",1998-06-15,"",""
"144","9:30 Club","      Tori Amos     ",NA,"Wednesday",1998-04-22,"",""
"145","9:30 Club","      Luna and Our Lady Peace     ",NA,"Tuesday",1998-04-28,"",""
"146","9:30 Club","      Fishbone     ",NA,"Wednesday",1998-12-02,"",""
"147","9:30 Club","      PJ Harvey     ",NA,"Friday",1998-11-06,"",""
"148","9:30 Club","      Ben Folds Five     ",NA,"Sunday",1998-02-22,"",""
"149","9:30 Club","      Juliana Hatfield and Hayden     ",NA,"Thursday",1998-10-22,"",""
"150","9:30 Club","      Ween     ",NA,"Saturday",1998-01-17,"",""
"151","9:30 Club","      Portishead     ",NA,"Sunday",1998-03-15,"",""
"152","9:30 Club","      Radiohead"," Pulp    ","Saturday",1998-06-13,"",""
"153","9:30 Club","      Liz Phair     ",NA,"Monday",1998-10-05,"",""
"154","9:30 Club","      Lou Reed     ",NA,"Thursday",1998-08-13,"",""
"155","9:30 Club","      Meat Beat Manifesto and The Prodigy     ",NA,"Tuesday",1998-06-16,"",""
"156","9:30 Club","      Tricky and Citizen Cope     ",NA,"Monday",1998-07-20,"",""
"157","9:30 Club","      The Tragically Hip     ",NA,"Saturday",1998-10-03,"",""
"158","9:30 Club","      Garbage     ",NA,"Wednesday",1998-05-27,"",""
"159","9:30 Club","      MOE.     ",NA,"Friday",1998-10-09,"",""
"160","9:30 Club","      Better Than Ezra     ",NA,"Friday",1998-10-02,"",""
"161","9:30 Club","      Sonic Youth"," Pelt and Rake    ","Thursday",1998-05-07,"",""
"162","9:30 Club","      Sonic Youth     ",NA,"Wednesday",1998-05-06,"",""
"163","9:30 Club","      G. Love & Special Sauce     ",NA,"Thursday",1998-12-31,"",""
"164","9:30 Club","      They Might Be Giants and Mary Prankster     ",NA,"Friday",1998-08-28,"",""
"165","9:30 Club","      Reel Big Fish"," Spring Heeled Jack    ","Friday",1998-09-25,"",""
"166","9:30 Club","      Mustard Plug"," Less Than Jake","Tuesday",1998-04-21,"",""
"167","9:30 Club","      Frank Black and Frank Black & The Catholics     ",NA,"Saturday",1998-05-23,"",""
"168","9:30 Club","      Massive Attack     ",NA,"Thursday",1998-09-10,"",""
"169","9:30 Club","      The Damned     ",NA,"Monday",1998-02-09,"",""
"170","9:30 Club","      Buffalo Tom"," Anne Summers and Crumb    ","Saturday",1998-11-07,"",""
"171","9:30 Club","      The Church     ",NA,"Saturday",1998-10-10,"",""
"172","9:30 Club","      Eels     ",NA,"Sunday",1998-11-08,"",""
"173","9:30 Club","      Patti Smith     ",NA,"Wednesday",1998-11-18,"",""
"174","9:30 Club","      Luna     ",NA,"Friday",1998-01-16,"",""
"175","9:30 Club","      Stone Temple Pilots and Daniel Lanois     ",NA,"Friday",1998-05-15,"",""
"176","9:30 Club","      Creed and Moist     ",NA,"Friday",1998-02-27,"",""
"177","9:30 Club","      Mudhoney"," The Kent 3 and Nebula    ","Saturday",1998-10-17,"",""
"178","9:30 Club","      Bob Mould     ",NA,"Wednesday",1998-09-30,"",""
"179","9:30 Club","      Little Feat     ",NA,"Saturday",1998-02-07,"",""
"180","9:30 Club","      Alanis Morissette     ",NA,"Tuesday",1998-10-27,"",""
"181","9:30 Club","      Siouxsie & The Banshees and The Creatures     ",NA,"Saturday",1998-08-08,"",""
"182","9:30 Club","      Soul Coughing     ",NA,"Sunday",1998-10-25,"",""
"183","9:30 Club","      10","000 Maniacs     ","Saturday",1998-03-28,"",""
"184","9:30 Club","      They Might Be Giants     ",NA,"Wednesday",1998-12-30,"",""
"185","9:30 Club","      The Afghan Whigs     ",NA,"Sunday",1998-11-22,"",""
"186","9:30 Club","      Rocket from the Crypt"," Creeper Lagoon    ","Saturday",1998-07-25,"",""
"187","9:30 Club","      Squeeze     ",NA,"Tuesday",1998-06-09,"",""
"188","9:30 Club","      Feeder     ",NA,"Friday",1998-04-10,"",""
"189","9:30 Club","      Chris Whitley     ",NA,"Wednesday",1998-10-28,"",""
"190","9:30 Club","      The Jesus Lizard"," Stanford Prison Experiment    ","Wednesday",1998-05-20,"",""
"191","9:30 Club","      Gary Numan     ",NA,"Monday",1998-05-04,"",""
"192","9:30 Club","      Maria McKee     ",NA,"Friday",1998-12-11,"",""
"193","9:30 Club","      Michelle Shocked     ",NA,"Monday",1998-03-02,"",""
"194","9:30 Club","      The Jesus and Mary Chain     ",NA,"Tuesday",1998-07-14,"",""
"195","9:30 Club","      The Goo Goo Dolls     ",NA,"Thursday",1998-11-05,"",""
"196","9:30 Club","      Mary Prankster     ",NA,"Wednesday",1998-02-11,"",""
"197","9:30 Club","      Michelle Shocked     ",NA,"Sunday",1998-03-01,"",""
"198","9:30 Club","      Paula Cole     ",NA,"Saturday",1998-02-14,"",""
"199","9:30 Club","      Glu     ",NA,"Sunday",1998-07-19,"",""
"200","9:30 Club","      Girls Against Boys     ",NA,"Friday",1998-07-10,"",""
"201","9:30 Club","      MONO     ",NA,"Saturday",1998-04-11,"",""
"202","9:30 Club","      Projekct Two     ",NA,"Friday",1998-05-01,"",""
"203","9:30 Club","      Nothingface     ",NA,"Saturday",1998-09-12,"",""
"204","9:30 Club","      Lunatic Calm     ",NA,"Sunday",1998-09-13,"",""
"205","9:30 Club","      Joan Jett & The Blackhearts     ",NA,"Saturday",1998-01-10,"",""
"206","9:30 Club","      Luscious Jackson"," Cibo Matto    ","Tuesday",1999-08-10,"",""
"207","9:30 Club","      Trey Anastasio     ",NA,"Tuesday",1999-05-11,"",""
"208","9:30 Club","      Underworld     ",NA,"Tuesday",1999-04-20,"",""
"209","9:30 Club","      They Might Be Giants     ",NA,"Friday",1999-10-15,"",""
"210","9:30 Club","      Madness     ",NA,"Saturday",1999-05-01,"",""
"211","9:30 Club","      The Sisters Of Mercy     ",NA,"Thursday",1999-09-23,"",""
"212","9:30 Club","      Smashing Pumpkins"," Queens of the Stone Age    ","Thursday",1999-04-15,"",""
"213","9:30 Club","      GusGus"," Esthero    ","Sunday",1999-05-02,"",""
"214","9:30 Club","      Pavement     ",NA,"Saturday",1999-06-19,"",""
"215","9:30 Club","      Counting Crows     ",NA,"Thursday",1999-10-28,"",""
"216","9:30 Club","      Fugazi and The Ex     ",NA,"Sunday",1999-12-05,"",""
"217","9:30 Club","      Elliott Smith     ",NA,"Tuesday",1999-03-23,"",""
"218","9:30 Club","      Sebadoh"," Playtopia and Bunnybrains    ","Friday",1999-03-19,"",""
"219","9:30 Club","      Silverchair     ",NA,"Thursday",1999-03-11,"",""
"220","9:30 Club","      Rage Against The Machine     ",NA,"Sunday",1999-10-31,"",""
"221","9:30 Club","      Mercury Rev     ",NA,"Tuesday",1999-06-08,"",""
"222","9:30 Club","      MOE.     ",NA,"Saturday",1999-02-06,"",""
"223","9:30 Club","      MOE.     ",NA,"Friday",1999-10-08,"",""
"224","9:30 Club","      MOE.     ",NA,"Saturday",1999-10-09,"",""
"225","9:30 Club","      Ween     ",NA,"Saturday",1999-01-02,"",""
"226","9:30 Club","      Better Than Ezra     ",NA,"Wednesday",1999-03-10,"",""
"227","9:30 Club","      Jazz Mandolin Project     ",NA,"Saturday",1999-02-13,"",""
"228","9:30 Club","      Morcheeba     ",NA,"Wednesday",1999-03-24,"",""
"229","9:30 Club","      Soulfly     ",NA,"Wednesday",1999-07-14,"",""
"230","9:30 Club","      Atari Teenage Riot     ",NA,"Sunday",1999-07-18,"",""
"231","9:30 Club","      The Residents     ",NA,"Friday",1999-04-09,"",""
"232","9:30 Club","      Fuel     ",NA,"Friday",1999-04-02,"",""
"233","9:30 Club","      Clutch and Bob Weir & RatDog     ",NA,"Tuesday",1999-11-23,"",""
"234","9:30 Club","      Medeski"," Martin & Wood","Thursday",1999-05-13,"",""
"235","9:30 Club","      Dance Hall Crashers"," Spring Heeled Jack and The Gadjits    ","Saturday",1999-03-20,"",""
"236","9:30 Club","      Dead Can Dance     ",NA,"Monday",1999-11-01,"",""
"237","9:30 Club","      Frank Black and Frank Black & The Catholics     ",NA,"Saturday",1999-07-24,"",""
"238","9:30 Club","      Mojave 3     ",NA,"Saturday",1999-04-10,"",""
"239","9:30 Club","      Placebo and Stabbing Westward"," Flick    ","Saturday",1999-03-27,"",""
"240","9:30 Club","      Stereolab     ",NA,"Wednesday",1999-11-10,"",""
"241","9:30 Club","      Bloodhound Gang     ",NA,"Thursday",1999-04-29,"",""
"242","9:30 Club","      Counting Crows     ",NA,"Friday",1999-10-29,"",""
"243","9:30 Club","      Liz Phair     ",NA,"Tuesday",1999-04-27,"",""
"244","9:30 Club","      The Beta Band     ",NA,"Saturday",1999-09-11,"",""
"245","9:30 Club","      Tenacious D     ",NA,"Friday",1999-08-27,"",""
"246","9:30 Club","      Remy Zero     ",NA,"Wednesday",1999-06-16,"",""
"247","9:30 Club","      Buffalo Tom"," Julia Darling and Earth to Andy    ","Saturday",1999-02-27,"",""
"248","9:30 Club","      The Church     ",NA,"Friday",1999-10-01,"",""
"249","9:30 Club","      Chemical Brothers     ",NA,"Monday",1999-09-27,"",""
"250","9:30 Club","      Patty Griffin     ",NA,"Saturday",1999-07-03,"",""
"251","9:30 Club","      Patty Griffin"," Lucinda Williams    ","Monday",1999-05-03,"",""
"252","9:30 Club","      Luna     ",NA,"Sunday",1999-08-01,"",""
"253","9:30 Club","      Luna     ",NA,"Friday",1999-12-10,"",""
"254","9:30 Club","      Einst�_rzende Neubauten     ",NA,"Sunday",1999-01-03,"",""
"255","9:30 Club","      Alice Cooper     ",NA,"Tuesday",1999-10-05,"",""
"256","9:30 Club","      Fountains of Wayne     ",NA,"Thursday",1999-07-08,"",""
"257","9:30 Club","      Siouxsie & The Banshees"," Siouxsie","Saturday",1999-04-24,"",""
"258","9:30 Club","      Soul Coughing     ",NA,"Wednesday",1999-08-11,"",""
"259","9:30 Club","      They Might Be Giants     ",NA,"Saturday",1999-10-16,"",""
"260","9:30 Club","      Everclear"," Earth to Andy    ","Monday",1999-07-05,"",""
"261","9:30 Club","      Tricky     ",NA,"Saturday",1999-09-18,"",""
"262","9:30 Club","      The Tragically Hip     ",NA,"Saturday",1999-05-15,"",""
"263","9:30 Club","      The Tragically Hip     ",NA,"Friday",1999-05-14,"",""
"264","9:30 Club","      The Cranberries     ",NA,"Wednesday",1999-04-28,"",""
"265","9:30 Club","      Morphine     ",NA,"Friday",1999-03-26,"",""
"266","9:30 Club","      Ministry and Nothingface     ",NA,"Wednesday",1999-07-28,"",""
"267","9:30 Club","      The Afghan Whigs     ",NA,"Monday",1999-09-06,"",""
"268","9:30 Club","      Rusted Root     ",NA,"Tuesday",1999-03-02,"",""
"269","9:30 Club","      Rusted Root     ",NA,"Wednesday",1999-03-03,"",""
"270","9:30 Club","      The Cult     ",NA,"Wednesday",1999-08-04,"",""
"271","9:30 Club","      Guided By Voices"," Cheap Trick    ","Friday",1999-09-10,"",""
"272","9:30 Club","      St. Etienne     ",NA,"Wednesday",1999-05-19,"",""
"273","9:30 Club","      Burning Spear     ",NA,"Sunday",1999-09-26,"",""
"274","9:30 Club","      Jamiroquai     ",NA,"Monday",1999-07-19,"",""
"275","9:30 Club","      System of a Down     ",NA,"Monday",1999-04-12,"",""
"276","9:30 Club","      Moțrhead     ",NA,"Tuesday",1999-06-01,"",""
"277","9:30 Club","      Mary Prankster     ",NA,"Wednesday",1999-12-22,"",""
"278","9:30 Club","      Mary Prankster     ",NA,"Friday",1999-01-22,"",""
"279","9:30 Club","      Apes"," Reverend Horton Heat and Jack Potential    ","Friday",1999-12-31,"",""
"280","9:30 Club","      Lunachicks     ",NA,"Sunday",1999-10-17,"",""
"281","9:30 Club","      The Distillers     ",NA,"Monday",1999-06-21,"",""
"282","9:30 Club","      Moby     ",NA,"Monday",1999-09-13,"",""
"283","9:30 Club","      Wilco     ",NA,"Tuesday",1999-11-16,"",""
"284","9:30 Club","      Robyn Hitchcock     ",NA,"Friday",1999-08-13,"",""
"285","9:30 Club","      Ani DiFranco     ",NA,"Wednesday",1999-10-06,"",""
"286","9:30 Club","      Ricky Martin and Slipknot     ",NA,"Monday",1999-09-20,"",""
"287","9:30 Club","      Leftover Salmon     ",NA,"Wednesday",1999-06-09,"",""
"288","9:30 Club","      Soul Coughing     ",NA,"Thursday",1999-08-12,"",""
"289","9:30 Club","      Nothingface     ",NA,"Sunday",1999-01-24,"",""
"290","9:30 Club","      Moxy Fruvous     ",NA,"Friday",1999-02-05,"",""
"291","9:30 Club","      Moxy Fruvous     ",NA,"Saturday",1999-11-20,"",""
"292","9:30 Club","      Angry Salad"," The Samples    ","Friday",1999-12-03,"",""
"293","9:30 Club","      Unwritten Law"," Blue Meanies and Spring Heeled Jack    ","Sunday",1999-05-02,"",""
"294","9:30 Club","      Morrissey     ",NA,"Monday",2000-02-28,"",""
"295","9:30 Club","      Elliott Smith"," Grandaddy    ","Thursday",2000-10-26,"",""
"296","9:30 Club","      The Sheila Divine and Morrissey     ",NA,"Sunday",2000-02-27,"",""
"297","9:30 Club","      Catherine Wheel"," Tracy Bonham    ","Saturday",2000-07-08,"",""
"298","9:30 Club","      The Disco Biscuits     ",NA,"Wednesday",2000-11-22,"",""
