"","artist","Genres","Labels","Associated acts","Birth name","Born","Died","Instruments","Notable instruments","Occupation(s)","Origin","Years active","Members","Past members","Website","Also known as"
"1138","Oleta Adams","Gospel, soul, jazz","Fontana (1989–93)
Fontana / Mercury (1994–96)
Harmony (1997–99)
Monarch Records / Pioneer (2001–02)
E1 Music (2006–09)","Tears for Fears","Oleta Angela Adams","(1953-05-04) May 4, 1953 (age 64)Seattle, Washington, United States",NA,"Singer, piano",NA,"Vocals, actor",NA,"1980–present",NA,NA,"www.oletaadams.com",NA
"1139","The Greencards","Bluegrass, progressive bluegrass","Dualtone, Sugar Hill","Ricky Skaggs
Robert Earl Keen
Jerry Salley
Austin Lounge Lizards
Kasey Chambers
Gina Jeffreys
Pat Flynn
Ronnie Bowman",NA,NA,NA,NA,NA,NA,"Austin, Texas, U.S.","2003 (2003)–present","Carol Young
Kym Warner
Carl Miner
Luke Bulla","Eamon McLoughlin
Tyler Andal","www.thegreencards.com",NA
"1140","The Waifs","Folk rock","Outside, Jarrah, Compass, Hummingbird","Colours, John Butler Trio",NA,NA,NA,NA,NA,NA,"Albany, Western Australia, Australia","(1992 (1992)–present)","see Members list",NA,"www.thewaifs.com",NA
"1141","Guy Clark","Country, Texas country, outlaw country, folk","RCA, Warner, Sugar Hill, Elektra, Dualtone","Townes Van Zandt, Jerry Jeff Walker, Kris Kristofferson, Waylon Jennings","Guy Charles Clark","(1941-11-06)November 6, 1941Monahans, Texas, U.S.","May 17, 2016(2016-05-17) (aged 74)Nashville, Tennessee, U.S.","Guitar, vocals",NA,"Musician, singer-songwriter, producer",NA,"1970s–2016",NA,NA,"guyclark.com",NA
"1142","Lizz Wright","vocal jazz, gospel, blues","Concord Records","In the Spirit",NA,"(1980-01-22) January 22, 1980 (age 37)Hahira, Georgia, U.S.",NA,NA,NA,"Singer",NA,NA,NA,NA,"www.lizzwright.net",NA
"1143","The Proclaimers","Folk rock, celtic rock, country rock, college rock, jangle pop, indie pop",NA,NA,NA,"(1962-03-05) 5 March 1962 (age 55) (twins)Leith, Edinburgh, Scotland",NA,"Vocals, acoustic guitar, harmonica, tambourine",NA,NA,"Auchtermuchty, Fife, Scotland","1983–present","Charlie Reid - Vocals, Acoustic Guitar
Craig Reid - VocalsBacking Band
Steven Christie - Keyboards
Clive Jenner - Drums
Garry John Kane - Bass Guitar
Zac Ware - Lead Guitar",NA,"www.proclaimers.co.uk",NA
"1144","Tommy Emmanuel","Various",NA,"Southern Star Band, John Farnham, Dragon, Jerry Reed, Chet Atkins, Martin Taylor, Hank Marvin, Gabriella Quevedo","William Thomas Emmanuel","(1955-05-31) 31 May 1955 (age 62)Muswellbrook, New South Wales, Australia",NA,"Guitar","Notable instruments","Musician",NA,"1962–present",NA,NA,"www.tommyemmanuel.com",NA
"1145","Edwin McCain","Rock, indie rock","Lava, Vanguard, 429 Records",NA,NA,"(1970-01-20) January 20, 1970 (age 47)Greenville, U.S.",NA,"Vocals, guitar",NA,NA,NA,"1991–present",NA,NA,NA,NA
"1146","Nothin' Fancy","FolkCountryAmericanaBluegrass","Mountain Fever, Pinecastle",NA,NA,NA,NA,NA,NA,NA,"Timberville, Virginia, United StatesBuena Vista, VirginiaLexington, VirginiaManassas, Virginia","1994–present","Mike Andes
Mitchell Davis
Chris Sexton
Tony Shorter
Caleb Cox","Gary Ferris
Buster Sexton
Frankie Hawkins
Darin Lawrence
Bill Ledbetter
Eli Johnston
Justin Tomlin
Jesse Smathers","Official Site",NA
"1147","Old Blind Dogs","Scottish folk music, Celtic music",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1990–present",NA,NA,"www.oldblinddogs.co.uk",NA
"1148","Mary Gauthier","Folk, Country, Americana","Lost Highway, In the Black",NA,NA,"(1962-03-11) 11 March 1962 (age 55)New Orleans, Louisiana, United States",NA,"Vocals, guitar",NA,"Songwriter, musician, writing teacher, restaurateur",NA,"1990–present",NA,NA,"www.marygauthier.com",NA
"1149","Joe Bonamassa","Blues rock, hard rock, blues","J&R Adventures, Provogue","Bloodline, Black Country Communion, Beth Hart, Rock Candy Funk Party, Jason Bonham, Joe Lynn Turner","Joseph Leonard Bonamassa","(1977-05-08) May 8, 1977 (age 40)[1]New Hartford, New York, United States",NA,"Guitar, vocals, theremin, mandolin, dobro, banjo","Notable instruments","Musician, singer-songwriter",NA,"1989–present",NA,NA,"jbonamassa.com",NA
"1150","Phoebe Snow","Blues, country blues, jazz blues, Folk, gospel, jazz, R&B, rock, rock and roll, soul","Shelter, Columbia, Atlantic, Eagle, House Of Blues","Sisters of Glory","Phoebe Ann Laub","(1950-07-17)July 17, 1950[1][2]New York City, U.S.[1]","April 26, 2011(2011-04-26) (aged 60)[1]Edison, New Jersey, U.S.","Guitar, vocals",NA,"Singer-songwriter",NA,"1972–2010",NA,NA,NA,NA
"1151","Shawn Mullins","Alternative rockCountry rock","Vanguard RecordsColumbia Records","The Thorns",NA,"(1968-03-08) March 8, 1968 (age 49)Atlanta, Georgia, U.S.",NA,NA,NA,NA,NA,"1990–present",NA,NA,"ShawnMullins.com",NA
"1152","Frank Marino","Hard rock, blues rock, heavy metal",NA,"Mahogany Rush","Francesco Antonio Marino","(1954-11-20) November 20, 1954 (age 62)Montreal, Quebec, Canada",NA,"Guitar","Notable instruments","Musician, songwriter",NA,"1970 – 1993
2001 – present",NA,NA,"mahoganyrush.com",NA
"1153","Beth Nielsen Chapman","Adult contemporary
country","BNC
Reprise
Compass",NA,NA,"(1958-09-14) September 14, 1958 (age 59)Harlingen, Texas",NA,NA,NA,"Singer-songwriter",NA,"1976–present",NA,NA,"www.bethnielsenchapman.com",NA
"1154","China Forbes",NA,"Heinz","Pink Martini",NA,"(1970-04-29) April 29, 1970 (age 47)Cambridge, Massachusetts, U.S.",NA,NA,NA,"Singer, songwriter",NA,NA,NA,NA,"www.chinaforbes.com",NA
"1155","B.J. Thomas","Country, pop, contemporary Christian, rock","Scepter, Myrrh, Columbia, ABC, Paramount, MCA",NA,"Billy Joe Thomas","(1942-08-07) August 7, 1942 (age 75)Hugo, Oklahoma, U.S.",NA,"Vocals",NA,"Singer","Houston, Texas","1966–present",NA,NA,"bjthomas.com",NA
"1156","Holly Cole","Jazz","Alert Records",NA,"Holly Cole","(1963-11-25) November 25, 1963 (age 53)Halifax, Nova Scotia, Canada",NA,"Vocals",NA,"Singer","Halifax, Nova Scotia, Canada","1983–present",NA,NA,"www.hollycole.com",NA
"1157","Kenny Loggins","Rock
country
children's music
soft rock[1][2]","Columbia, Mercury","Loggins and Messina
Michael McDonald

Blue Sky Riders","Kenneth Clark Loggins","(1948-01-07) January 7, 1948 (age 69)Everett, Washington, U.S.",NA,"Vocals
guitar
harmonica",NA,NA,NA,"1968–present",NA,NA,"kennyloggins.com",NA
"1158","Gato Barbieri","Jazz, avant-garde jazz, free jazz, Latin jazz, smooth jazz","Impulse!, A&M, Flying Dutchman, United Artists, ESP-Disk, Durium, Columbia",NA,"Leandro Barbieri","(1932-11-28)28 November 1932Rosario, Santa Fe, Argentina","2 April 2016(2016-04-02) (aged 83)
New York City","Tenor saxophone",NA,"Musician, bandleader",NA,"1961–2016",NA,NA,NA,NA
"1159","Sonny Landreth","Blues, country blues, zydeco",NA,"Jimmy Buffett, John Hiatt, The Goners, Mark Knopfler",NA,"(1951-02-01) February 1, 1951 (age 66)Canton, Mississippi",NA,"Guitar",NA,NA,NA,"1973–present",NA,NA,"sonnylandreth.com",NA
"1160","The Ventures","Instrumental rock, surf rock","Dolton, Liberty, United Artists, Capitol, GNP Crescendo, Blue Horizon",NA,NA,NA,NA,NA,NA,NA,"Tacoma, Washington, United States","1958–present","Don Wilson
Gerry McGee
Bob Spalding
Leon Taylor","Nokie EdwardsBob BogleHowie JohnsonMel Taylor
John Durrill
Joe Barile
Dave Carr
Biff Vincent
Leisha Soukary
Jonell CalendarGeorge T. Babbitt, Jr.Paul Warren","www.theventures.com","The Versatones
The New Ventures"
"1161","Randy Bachman","Rock",NA,"Chad Allan and the Reflections, Chad Allan & the Expressions, The Guess Who, Ironhorse, Brave Belt, Bachman–Turner Overdrive, Ringo Starr & His All-Starr Band, Bachman Cummings, Bachman & Turner","Randolph Charles Bachman","(1943-09-27) September 27, 1943 (age 73)Winnipeg, Manitoba, Canada",NA,"Guitar
Vocals","Notable instruments","Musician, guitarist, songwriter, radio personality",NA,"1960–present",NA,NA,"randybachman.com",NA
"1162","Pure Prairie League","Country rock, soft rock[1]","RCA, Casablanca, Thirty Tigers","Vince Gill",NA,NA,NA,NA,NA,NA,"Waverly, Ohio, United States","1970–1988, 1998–2002, 2004–present",NA,NA,"pureprairieleague.com",NA
"1163","The Fabulous Thunderbirds","Blues rock
Texas blues
Southern rock","CBS Associated",NA,NA,NA,NA,NA,NA,NA,"Texas, U.S.","1974–present","Kim Wilson
Johnny Moeller
Steve Gomes
Wes Watkins
Kevin Anker","Jimmie Vaughan
Keith Ferguson
Mike Buck
Fran Christina
Preston Hubbard
Duke Robillard
Doug Bangham
Gene Taylor
Kid Ramos
Willie Campbell
Jimi Bott
Richard Innes
Steve Hodges
Ronnie James Weber
Troy Gonyea
Kirk Fletcher
Nick Curran
Randy Bermudes
Jay Moeller
Mike Keller","www.fabulousthunderbirds.com",NA
"1164","Julia Fordham","Pop, jazz","Circa RecordsVirgin RecordsVanguard Records
Little Boo Records
Muttley Bosco RecordsCherry Red Records","Mari Wilson, Kim Wilde, Paul Reiser, Judith Owen",NA,"(1962-08-10) 10 August 1962 (age 55)",NA,NA,NA,NA,"Portsmouth, England","1988–present",NA,NA,"juliafordham.com",NA
"1165","Milton Nascimento","MPB, Pop Rock, Rock and roll, Jazz","Warner Music BrazilSony Music BrazilPhilips RecordsEMI Music BrazilWarner Bros. RecordsBlue Note/EMI RecordsNonesuch/Elektra Records","Clube da Esquina","Milton Nascimento","(1942-10-26) October 26, 1942 (age 74)Rio de Janeiro, Brazil",NA,"Vocals, Guitar, Piano",NA,"Singer, songwriter, guitarist","Três Pontas, Minas Gerais, Brazil[1]","1962–present",NA,NA,NA,"Bituca"
"1166","Aaron Neville","R&B, soul, country, gospel, jazz, pop","Par-Lo, Curb, A&M, Chordant, EMI, Burgundy","Neville Brothers, Linda Ronstadt",NA,"(1941-01-24) January 24, 1941 (age 76)",NA,"Vocals",NA,"Singer, musician","New Orleans, Louisiana, United States","1960–present",NA,NA,"aaronneville.com",NA
"1167","Bootsy Collins","Funk
soul
rock
psychedelic soul
rhythm and blues
hip hop","Westbound
Ace
Warner Bros.
Casablanca
Shout
Columbia
P-Vine","Parliament-Funkadelic
Bootsy's Rubber Band
George Clinton
James Brown
Snoop Dogg
Axiom Funk
Praxis
Material
Fatboy Slim
Deee-Lite
Buckethead","William Earl Collins","(1951-10-26) October 26, 1951 (age 65)Cincinnati, Ohio, U.S.",NA,"Bass guitar
vocals
guitar
drums
keyboards",NA,"Musician, singer-songwriter",NA,"1968–present",NA,NA,"bootsycollins.com",NA
"1168","Eddy Grant","Reggae
pop
ringbang[1]","Ice
Portrait
Epic
Enigma
Parlophone",NA,"Edmond Montague Grant","(1948-03-05) 5 March 1948 (age 69)Plaisance, British Guiana",NA,"Vocals
guitar
bass
drums
keyboards",NA,"Musician","London, United Kingdom","1965–present",NA,NA,NA,NA
"1169","Melody Gardot","Jazz
vocal jazz","Verve
Decca",NA,NA,"(1985-02-02) February 2, 1985 (age 32)
New Jersey, U.S.",NA,"Guitar
piano",NA,"Singer-songwriter, musician","Philadelphia, Pennsylvania","2004–present",NA,NA,"www.melodygardot.co.uk",NA
"1170","Jeffrey Osborne","Funk, rhythm and blues","A&MAristaHip-O RecordsPrivate MusicKoch Records","LTD",NA,"(1948-03-09) March 9, 1948 (age 69)",NA,"Vocals, drums",NA,"Singer-songwriter, drummer","Providence, Rhode Island, United States","Member of LTD: 1970–1980
Solo career: 1981–present",NA,NA,"www.jeffreyosborne.com",NA
"1171","Del McCoury Band","BluegrassJam band","Sugar Hill","Steve Earle, Dierks Bentley",NA,NA,NA,NA,NA,NA,NA,"1967–present","Del McCouryRonnie McCouryRobbie McCouryJason CarterAlan Bartram",NA,"www.delmccouryband.com",NA
"1172","Jonatha Brooke","Folk rock","Bad Dog Records, MCA Records, Elektra, Green Linnet, Rykodisc","The Story","Jonatha Brooke","(1964-01-23) January 23, 1964 (age 53)Illinois, United States",NA,"Vocals, guitar, piano",NA,"Musician, songwriter",NA,"1980s–present",NA,NA,"jonathabrooke.com",NA
"1173","Catie Curtis","Folk rock","EMI, Rykodisc, Vanguard Records, Compass,",NA,NA,NA,NA,NA,"Notable instruments",NA,"United States","mid-1990s–present",NA,NA,NA,NA
"1174","Iris Dement","Folk, alternative country, gospel","Rounder Records (Philo), Warner Bros., Flariella Records","Greg Brown, John Prine","Iris Luella DeMent","(1961-01-05) January 5, 1961 (age 56)Paragould, Arkansas, U.S.",NA,"Vocals, guitar, piano",NA,"Singer-songwriter",NA,"1991–present",NA,NA,"www.irisdement.com",NA
"1175","The Bacon Brothers","Country rockFolk rock",NA,NA,NA,NA,NA,NA,NA,NA,"United States","1995–present","Kevin BaconMichael Bacon",NA,NA,NA
"1176","Musiq Soulchild","R&B","Def Soul (1999–2005)
Atlantic (2005–2013)
My Block
E1 Music (2013–present)",NA,"Taalib Johnson","(1977-09-16) September 16, 1977 (age 40)Philadelphia, Pennsylvania, U.S.",NA,NA,"Notable instruments","Singer
songwriter",NA,"1998–present",NA,NA,"www.musiqsoulchild.com","The Husel"
"1177","Bob Schneider","Pop, rock, folk, country","Kirtland","The Ugly Americans, The Scabs, Joe Rockhead, Texas Bluegrass Massacre, Lonelyland",NA,"(1965-10-12) October 12, 1965 (age 51)Ypsilanti, Michigan, U.S.",NA,NA,NA,"Musician",NA,"1990s–present",NA,NA,"www.bobschneider.com",NA
"1178","Meaghan Smith","Pop
Folk","Warner Music Canada, Sire",NA,NA,NA,NA,NA,NA,"Singer-songwriter","London, Ontario, Canada","2004–present",NA,NA,"www.meaghansmith.com",NA
"1179","Kevin Costner and Modern West","Country rock, country","Universal South",NA,NA,NA,NA,NA,NA,NA,NA,"2007–present","Kevin Costner
John Coinman
Teddy Morgan
Blair Forward
Larry Cobb
Park Chisolm
Luke Bulla
Bobby Yang
Roddy Chong",NA,"Official Website",NA
"1180","Brian Culbertson","Jazz, R&B, funk",NA,NA,NA,"(1973-01-12) January 12, 1973 (age 44)",NA,"Keyboards, trombone",NA,"Musician, instrumentalist","Decatur, Illinois, United States","1994–present",NA,NA,"Brianculbertson.me",NA
"1181","Ferras","Rock
soft rock
pop rock
piano rock
pop","Big 3 RecordsCapitol Records[1]EMIUnsub Records[2]","Katy Perry","Ferras Alqaisi","(1982-07-02) July 2, 1982 (age 35)Illinois, U.S.",NA,"Vocals
keyboards
piano",NA,"Singer-songwriter","Los Angeles, California, U.S.","2007–present",NA,NA,"Official Website",NA
"1182","Junkhouse","Alternative rock","Sony","Lee Harvey Osmond",NA,NA,NA,NA,NA,NA,"Hamilton, Ontario, Canada","1989 (1989)–1998 (1998), ? (?)–present (present)",NA,"Tom Wilson
Dan Achen
Russ Wilson
Ray Farrugia
Grant MarshallColin Cripps",NA,NA
"1183","Mark Erelli","AmericanaFolkPopCountry","Signature Sounds",NA,NA,"(1974-06-20) 20 June 1974 (age 43)Boston, MassachusettsUnited States",NA,"Vocals, guitar, mandolin, harmonica",NA,"MusicianSongwriter",NA,"1999 – present",NA,NA,"www.markerelli.com",NA
"1184","Bruce Foxton","Punk rock
new wave
mod revival
alternative rock
pop rock
hard rock","Arista
Absolute
Bass Tone","The Jam
Sharp
Stiff Little Fingers
Casbah Club
From the Jam
Paul Weller","Bruce Douglas Foxton","(1955-09-01) 1 September 1955 (age 62)Woking, Surrey, England",NA,"Vocals
bass guitar
guitar","Notable instruments","Singer
songwriter
composer
musician",NA,"1972–present",NA,NA,"brucefoxton.com",NA
"1185","Bill Kirchen","Ameripolitan, rockabilly, rock and roll, country, country rock, Bakersfield sound, blues, jazz","Hightone Records, Proper Records",NA,NA,"(1948-06-29) June 29, 1948 (age 69)Bridgeport, Connecticut, United States[1][2]",NA,"Guitar
vocals","Notable instruments",NA,NA,"1967–present",NA,NA,NA,NA
"1186","John Gorka","Folk","Windham Hill, High Street, Red House","Red Horse",NA,"(1958-07-27) July 27, 1958 (age 59)Colonia, New Jersey, U.S.",NA,"Vocals, guitars, piano",NA,"Songwriter, musician",NA,"1980s–present",NA,NA,"www.johngorka.com",NA
"1187","Colin Blunstone","Rock
pop","Epic
Decca
CBS
Deram","The Zombies
Argent
the Alan Parsons Project
Keats","Colin Edward Michael Blunstone","(1945-06-24) 24 June 1945 (age 72)Hatfield, Hertfordshire, England, United Kingdom",NA,"Vocals
guitar",NA,"Singer
songwriter
musician",NA,"1958–present",NA,NA,"colinblunstone.co.uk","Neil MacArthur"
"1188","Dweezil Zappa","Rock, hard rock, heavy metal, instrumental rock","Zappa, Favored Nations, Barking Pumpkin, Chrysalis","Frank Zappa, Ahmet Zappa, Extreme, Ozzy Osbourne, Spinal Tap, Steve Vai, Warren DeMartini, Zappa Plays Zappa, Dream Theater, Winger","Ian Donald Calvin Euclid Zappa","(1969-09-05) September 5, 1969 (age 48)",NA,"Guitar, vocals, bass, piano, banjo","Notable instruments",NA,"Los Angeles, California, United States","1986–present",NA,NA,"www.dweezilzappaworld.com",NA
"1189","Bonnie 'Prince' Billy","Folk
alternative country
country
freak folk[1]","Drag City, Domino, Spunk","Dawn McCarthy, The Cairo Gang, Mekons, Matt Sweeney, Mick Turner, Tortoise, Trembling Bells, Harem Scarem, The Picket Line, Alex Neilson, Björk","William Oldham","(1970-12-24) December 24, 1970 (age 46)Louisville, Kentucky, United States",NA,NA,NA,NA,NA,"1993–present",NA,NA,"www.bonnieprincebilly.com","Palace Brothers
Palace Music
Bonnie 'Prince' Billy"
"1190","Teena Marie","R&B
disco
hip hop
soul
funk
jazz","Gordy Records
Epic
CBS
Cash Money Records
Universal
Stax
Motown
Concord","Rick James, Ozone, Q.T. Marvin Gaye, Hush, Bernadette Cooper, Eve, Faith Evans, Vesta Williams, Maya Rudolph, Pattie Brooks, Patrice Rushen, Gerald Levert, Jill Jones","Mary Christine Brockert","(1956-03-05)March 5, 1956Santa Monica, California, U.S.","December 26, 2010(2010-12-26) (aged 54)Pasadena, California, U.S.","Vocals, guitar",NA,"Singer
songwriter
musician
record producer
arranger",NA,"1964–2010",NA,NA,NA,"Lady Tee, Ivory Queen Of Soul"
"1191","Steeleye Span","Electric folk
folk rock[1]","Park
Shanachie
Chrysalis
Flutterby
Mooncrest
B & C","The Woods Band
The Carnival Band
Silly Sisters",NA,NA,NA,NA,NA,NA,"London, England","1969–1978, 1980–present","Maddy Prior
Andrew Sinclair
Roger Carey
Liam Genockey
Julian Littman
Jessie May Smart","Peter Knight
Pete Zorn
Tim Hart
Rick Kemp
Ashley Hutchings
Terry Woods
Gay Woods
Martin Carthy
Bob Johnson
Nigel Pegrum
John Kirkpatrick
Mark Williamson
Chris Staines
Tim Harries
Michael Gregory
Terl Bryant
Ken Nicol","Steeleye Span Official",NA
"1192","Keb' Mo'","Delta blues, country blues, blues americana","Chocolate City, Epic, Yolabelle International, Kind Of Blue Music",NA,"Kevin Roosevelt Moore","(1951-10-03) October 3, 1951 (age 65)South Los Angeles, California, U.S.[1]",NA,"Vocals, guitar, harmonica, banjo, mandolin, bass, keyboards",NA,"Singer-songwriter, guitarist","Compton, California, U.S.","1980–present",NA,NA,NA,NA
"1193","Little Richard","Rock and roll, rhythm and blues, gospel, soul","RCA Victor, Peacock, Specialty, End, Ronnex, London, Goldisc Records, Little Star Records, Mercury, Atlantic, Vee-Jay, Modern, Okeh, Brunswick, Reprise, K-Tel, Warner Bros., Disney","Billy Wright, James Brown, Larry Williams, Otis Redding, Don Covay, Billy Preston, Jimi Hendrix, The Beatles, The Rolling Stones","Richard Wayne Penniman","(1932-12-05) December 5, 1932 (age 84)Macon, Georgia, U.S.",NA,"Vocals, piano",NA,"Musician, songwriter, pianist",NA,"1947–present",NA,NA,NA,NA
"1194","Leon Redbone","Vaudevillian, ragtime, jazz, blues","August Records, Warner Bros., Atco, Sugar Hill, Blue Thumb, Rounder, Private Music, Third Man",NA,"Dickran Gobalian[1]","(1949-08-26) August 26, 1949 (age 68)Nicosia, Cyprus",NA,"Guitar",NA,"Musician, singer-songwriter",NA,"1975–2015",NA,NA,"www.leonredbone.com",NA
"1195","Arturo Sandoval","Jazz, Latin Jazz, Afro-Cuban",NA,"Irakere, Dizzy Gillespie, GRP All-Star Big Band",NA,"(1949-11-06) November 6, 1949 (age 67)Artemisa, Cuba",NA,"Trumpet - Piano",NA,"Musician",NA,"1977–present",NA,NA,"arturosandoval.com",NA
"1196","Vivian Green","R&B, soul, neo soul","E1 Music, Columbia, Make Noise/Caroline",NA,"Vivian Sakiyyah Green","(1979-05-22) May 22, 1979 (age 38)",NA,NA,NA,"Singer-songwriter, record producer, pianist","Philadelphia, Pennsylvania, United States","1997–present",NA,NA,"viviangreen.com",NA
"1197","Najee","Smooth jazz, R&B","EMI, Verve Forecast, Heads Up, Telarc, E1, Shanachie",NA,"Jerome Najee Rasheed","(1957-11-04) November 4, 1957 (age 59)New York City, New York, U.S.",NA,"Vocals, saxophone, flute",NA,"Musician",NA,NA,NA,NA,NA,NA
"1198","Mother's Finest","Funk rock,[1]funk metal,[2]hard rock, rhythm and blues","RCA, Epic, Atlantic, Capitol, Scotti Bros., UTR Music, MTM Music, MIG, SPV/Steamhammer","Molly Hatchet, Illusion, Blackfoot, Sound Barrier, The Outlaws, The Marshall Tucker Band, Dent, Carl Carlton & The Songdogs",NA,NA,NA,NA,NA,NA,"Atlanta, Georgia, U.S.","1972-present","Joyce Kennedy
Glenn Murdock
Gary Moore
John Hayes
Jerry Seay
Dion Derek Murdock","Danny O'Hern
Mike Keck
Barry Borden
Harold Seay
Spacey T
Kerry Denton",NA,NA
"1199","Gary Louris","Folk, Americana, alt-country","Rykodisc","The JayhawksGolden SmogMark Olson",NA,"(1955-03-10) March 10, 1955 (age 62)",NA,NA,NA,NA,"Toledo, Ohio, United States","1985–present",NA,NA,"Official website",NA
"1200","Jon McLaughlin","Pop rock","Island Def Jam Records (2006-2010), Razor & Tie (2011-Present)[1]","Dave Barnes, Matt Wertz, O.A.R., Kris Allen, Needtobreathe, Sara Bareilles, Kelly Clarkson, Beyoncé, Sister Hazel, Demi Lovato","Jonathan McLaughlin","(1982-09-27) September 27, 1982 (age 34)",NA,"Piano, guitar, vocals",NA,"Singer-songwriter, guitarist, pianist, producer","Anderson, Indiana, United States","2003 - present",NA,NA,"Jonmcl.com/",NA
"1201","Jamey Johnson","Country","BNA, Mercury Nashville, Big Gassed","Buddy Cannon",NA,"(1975-07-14) July 14, 1975 (age 42)[1]Enterprise, Alabama, US",NA,"Vocals, guitar",NA,"Singer-songwriter","Montgomery, Alabama, US","2005–present",NA,NA,"JameyJohnson.com",NA
"1202","Mary Mary","Contemporary gospel, R&B","C2, Columbia","Warryn Campbell, Teddy Campbell, BeBe & CeCe Winans, Lecrae, Kierra Sheard, The Clark Sisters, VaShawn Mitchell, Yolanda Adams, Mase",NA,NA,NA,NA,NA,"Singers, songwriters, television personalities","Inglewood, California, U.S.","1998–present","Erica Atkins-CampbellTrecina ""Tina"" Atkins-Campbell",NA,"mary-mary.com",NA
"1203","Etta James","Blues
R&B
soul
gospel","Modern
Chess
MCA
Argo
Crown
Cadet
Island
PolyGram
Private
RCA
RCA Victor
Elektra
Virgin
EMI
Verve Forecast
Universal","Harvey Fuqua
Johnny Otis
Sugar Pie DeSanto","Jamesetta Hawkins","(1938-01-25)January 25, 1938Los Angeles, California, US","January 20, 2012(2012-01-20) (aged 73)Riverside, California, US","Vocals",NA,"Singer",NA,"1954–2012",NA,NA,NA,"Miss Peaches
The Matriarch of R&B"
"1204","Fred Eaglesmith","Alternative country","A Major Label, Lonesome Day","Willie P. Bennett","Frederick John Elgersma","(1957-07-09) July 9, 1957 (age 60)",NA,NA,NA,"singer-songwriter","Caistor Centre, Ontario, Canada","1980–present",NA,NA,"www.fredeaglesmith.com",NA
"1205","Jesse Cook","New flamenco, world music, ethno jazz","Narada, EMI, E1 Entertainment",NA,"Jesse Arnaud Cook","(1964-11-28) 28 November 1964 (age 52)
Paris, France",NA,"Acoustic guitar",NA,"Musician, composer","Toronto, Ontario, Canada","1995–present",NA,NA,"www.jessecook.com",NA
"1206","Gerald Albright","Jazz","GRP, Peak, Atlantic/WEA, Polygram","Will Downing, Phil Collins",NA,"(1957-08-30) August 30, 1957 (age 60)Los Angeles, California, U.S.",NA,"Saxophone",NA,"Musician",NA,"1987–present",NA,NA,"geraldalbright.com",NA
"1207","The Brand New Heavies","R&B
acid jazz
funk
jazz rap","Acid Jazz
Delicious Vinyl
FFRR
Chrysalis UK
EDEL",NA,NA,NA,NA,NA,NA,NA,"Ealing, London, England","1985–present","Simon Bartholomew
Andrew LevySulene Fleming","Jan KincaidN'Dea DavenportSiedah GarrettCarleen Anderson
Jay Ella Ruth
Ceri Evans
Nicole RussoSy Smith
Dawn Joseph","TheBrandNewHeavies.net",NA
"1208","Matthew Sweet","Power pop, alternative rock","ColumbiaA&MZoo EntertainmentShout! Factory","Community Trolls, Oh-OK, The Thorns, Susanna Hoffs","Sidney Matthew Sweet","(1964-10-06) October 6, 1964 (age 52)Lincoln, Nebraska, United States",NA,"vocals, guitar, bass guitar",NA,"singer, songwriter, record producer, instrumentalist",NA,"1978–present",NA,NA,"matthewsweet.com",NA
"1209","Dave Koz","Smooth jazz","Capitol, EMI, Rendezvous, Concord","Bobby Caldwell, David Sanborn",NA,"(1963-03-27) March 27, 1963 (age 54)Tarzana, California, U.S.",NA,"Saxophone",NA,"Musician",NA,"1987–present",NA,NA,"www.davekoz.com",NA
"1210","Jonny Lang","Blues, gospel, rock","A&M, Concord international, Interscope",NA,"Jon Gordon Langseth Jr.","(1981-01-29) January 29, 1981 (age 36)",NA,"Vocals, guitar",NA,NA,"Fargo, North Dakota, United States","1995–present",NA,NA,"www.jonnylang.com",NA
"1211","Chick Corea","Jazz, jazz fusion, post-bop, Latin jazz, classical music, avant-garde jazz, bebop, progressive rock","ECM, Polydor, Stretch, Warner Bros.","Return to Forever, Miles Davis, Five Peace Band, Chaka Khan, Chick Corea Elektric Band, Chick Corea's Akoustic Band, Circle, Stanley Clarke, Joe Farrell, Joe Henderson, Hubert Laws, Herbie Mann, Miroslav Vitous, Blue Mitchell, Gary Burton, Pat Metheny, Dave Holland, Eddie Gómez, John Patitucci, Frank Gambale, Anthony Braxton, Hiromi Uehara, Al Di Meola, Herbie Hancock, Béla Fleck, John McLaughlin, Brian Blade, Bobby McFerrin, Steve Gadd","Armando Anthony Corea","(1941-06-12) June 12, 1941 (age 76)[1]Chelsea, Massachusetts, U.S.",NA,"Piano, keyboards, synthesizers, organ, vibraphone, drums",NA,"Musician, composer, bandleader",NA,"1962–present[2]",NA,NA,"www.chickcorea.com",NA
"1212","Rickie Lee Jones","Rock, jazz, R&B, pop","Warner Bros. (1979–1986)Geffen (1989–1995)Reprise (1995–1999)Artemis (2000–2003)V2 (2003–2006)New West (2006–2009)Fantasy (2009–present)",NA,NA,"(1954-11-08) November 8, 1954 (age 62)Chicago, Illinois, United States",NA,NA,NA,"Singer-songwriter, musician","Los Angeles and Hollywood, California, United States","1979-present",NA,NA,"RickieLeeJones.com",NA
