"","artist","Genres","Labels","Associated acts","Birth name","Born","Died","Instruments","Notable instruments","Occupation(s)","Origin","Years active","Members","Past members","Website","Also known as"
"671","The Low Anthem","Indie folk, Experimental, Alternative","Nonesuch(US)Bella Union (UK,Europe)Concord Records","The Barr BrothersIron and WineLucinda Williams",NA,NA,NA,NA,NA,NA,"Providence, Rhode Island, United States","2006–present","Ben Knox Miller
Jeff Prystowsky
Florence Grace Wallis
Bryan Minto","Dan Lefkowitz
Cyrus Scofield
Jocie Adams
Mat Davidson
Tyler Osborne
Mike Irwin
Andy Davis","www.lowanthem.com",NA
"672","Wanda Jackson","Rockabilly
rock and roll
country
Americana
gospel","Black Country Rock MediaDecca RecordsCapitol RecordsCMH RecordsThird Man Records","Elvis Presley, the Cramps, Jack White, Imelda May, Hank Thompson, Billy Gray, Rosie Flores, Norma Jean, Adele[1]","Wanda Lavonne Jackson","(1937-10-20) October 20, 1937 (age 79)Maud, Oklahoma",NA,"Vocals, guitar",NA,"Singer-songwriter",NA,"1955–present",NA,NA,"WandaJackson.com","The Queen of Rockabilly
The First Lady of Rockabilly"
"673","Black Country Communion","Hard rock
blues rock","J&R Adventures
Mascot","California Breed",NA,NA,NA,NA,NA,NA,"Los Angeles, California, USA","2009–13
2016–present","Glenn HughesJoe BonamassaJason BonhamDerek Sherinian",NA,"bccommunion.com",NA
"674","Glen Phillips","Alternative rock, rock, folk rock","Columbia","Toad the Wet Sprocket, Mutual Admiration Society, Works Progress Administration, Plover",NA,"(1970-12-29) December 29, 1970 (age 46)Santa Barbara, California, U.S.",NA,"Vocals, guitar, mandolin, keyboards","Notable instruments",NA,NA,"1985–present",NA,NA,"GlenPhillips.com",NA
"675","Brooke Fraser","Pop","Sony Music
Columbia
Vagrant
Play On
Time
Wood + Bone",NA,"Brooke Gabrielle Fraser","(1983-12-15) 15 December 1983 (age 33)Wellington, New Zealand",NA,"Vocals, piano, guitar",NA,"Singer, songwriter","Wellington, New Zealand","2002–present",NA,NA,"brookefraser.com",NA
"676","Scala & Kolacny Brothers","Choral","ATCO/Warner & PIAS",NA,NA,NA,NA,NA,NA,NA,"Aarschot, Belgium","1996-Present","Stijn Kolacny
Steven Kolacny
Women's Choir",NA,"scalachoir.com",NA
"677","Shinobi Ninja","Rock, Hip hop, Metal, Punk, Reggae, Funk, Electronic",NA,"A Tribe Called Quest, Fishbone, Black Sheep, Slipknot, Five Finger Death Punch, Rage Against the Machine, 311, Cassie, Das EFX, Leaders of the New School",NA,NA,NA,NA,NA,NA,"Brooklyn, NY","2008 (2008)–present","Baby G
Alien Lex
Duke Sims
Kid Shreddi
Axis Powers
Terminator Dave","Jonny on the Rocks","www.shinobininja.com",NA
"678","Of Monsters and Men","Chamber pop,[1]Indie folk,[2]folk-pop[3]","Record Records, Universal Republic, Republic[4]",NA,NA,NA,NA,NA,NA,NA,"Garður/Keflavík/Garðabær, Iceland","2010–present","Nanna Bryndís HilmarsdóttirRagnar ÞórhallssonBrynjar Leifsson
Kristján Páll Kristjánsson
Arnar Rósenkranz Hilmarsson","Árni Guðjónsson","www.ofmonstersandmen.com",NA
"679","Best Coast","Indie pop
indie rock[1]
jangle pop[2]
lo-fi","Jewel City, Mexican Summer, Wichita, Post Present Medium, Group Tightener, Art Fag Recordings, Black Iris, Blackest Rainbow, Kobalt,[3]Harvest","Pocahaunted, Vivian Girls, Wavves, Upset, Weezer",NA,NA,NA,NA,NA,NA,"Los Angeles, California, United States","2009–Present","Bethany Cosentino
Bobb Bruno",NA,"bestcoast.us",NA
"680","Grouplove","indie pop[1]
pop rock[2]
alternative dance[3]","Canvasback
Atlantic",NA,NA,NA,NA,NA,NA,NA,"Los Angeles, California","2009–present","Hannah Hooper
Christian Zucconi
Ryan Rabin
Andrew Wessen
Daniel Gleason","Sean Gadd","www.grouplovemusic.com",NA
"681","Fun.","Indie pop[1]
alternative rock
indie rock
baroque pop[2]","Nettwerk
Fueled by Ramen","The Format
Bleachers
Steel Train
Anathallo",NA,NA,NA,NA,NA,NA,"New York City, New York, United States","2008–2015 (hiatus)","Nate Ruess
Andrew Dost
Jack Antonoff",NA,"ournameisfun.com",NA
"682","Dirty Projectors","Indie rock
contemporary R&B
alternative R&B
electronica
art rock[1]","DominoDead OceansMarriage RecordsWestern VinylStates Rights Records",NA,NA,NA,NA,NA,NA,NA,"Brooklyn, New York, United States","2002–present","David Longstreth","Amber Coffman
Angel Deradoorian
Nat Baldwin
Rostam Batmanglij
Olga Bell
Haley Dekle
Adam Forkner
Mike Johnson
Ezra Koenig
Alex Farrill
Brian McOmber
Charlie Looker","Dirtyprojectors.net",NA
"683","Frank Ocean","R&B, soul","Independent[a]
Def Jam[5]
Island","Odd Future
Tyler, The Creator
André 3000
Kanye West
James Blake
John Mayer
Pharrell Williams
Jay Z
Beyoncé
Earl Sweatshirt
Malay
Om'Mas Keith","Christopher Edwin Breaux","(1987-10-28) October 28, 1987 (age 29)Long Beach, California, U.S.",NA,"Vocals
keyboards
guitar",NA,"Singer
songwriter[1]
rapper[2][3][4]
record producer","New Orleans, Louisiana, U.S.","2005–present",NA,NA,"boysdontcry.co",NA
"684","SBTRKT","UK garage
future garage
post-dubstep
indie pop
electronic","Young Turks","Sampha
Jessie Ware
Little Dragon
Denai Moore",NA,NA,NA,NA,NA,NA,"England, United Kingdom","2009–present","Aaron Jerome",NA,"sbtrkt.com",NA
"685","The Joy Formidable","Alternative rock, dream pop, shoegazing, indie rock, post-punk","Canvasback Music, Atlantic Records, Warner Music Group, Black Bell Records",NA,NA,NA,NA,NA,NA,NA,"North Wales, United Kingdom","2007–present","Rhiannon ""Ritzy"" Bryan
Rhydian Dafydd Davies
Matthew James Thomas","Justin Stahley","www.thejoyformidable.com",NA
"686","Freelance Whales","Indie rock, indie folk, pop rock, baroque pop, experimental","Mom + Pop Music, Frenchkiss",NA,NA,NA,NA,NA,NA,NA,"Queens, New York, United States","2008–present","Chuck Criss
Judah Dadone
Jacob Hyman
Kevin Read","Doris Cellar
Hayley Jane Batt
Timothy Cronin","freelancewhales.com",NA
"687","Neon Trees","Pop rock[1]
new wave[2]
alternative rock[3]","Mercury
Island","Kaskade",NA,NA,NA,NA,NA,NA,"Provo, Utah, United States","2005 (2005)–present","Tyler Glenn
Chris Allen
Branden Campbell
Elaine Bradley","Mike Liechty
Jason Gibbons
Nathan Evans","fameisdead.com",NA
